"Year","Month","GrossReturn","PriceReturn","CPI_Rate","CPI_adjusted_GR","CPI_adjusted_PR","CPIC_Rate","CPIC_adjusted_GR","CPIC_adjusted_PR","PPI_Rate","PPI_adjusted_GR","PPI_adjusted_PR","PCE_Rate","PCE_adjusted_GR","PCE_adjusted_PR"
1962,7,0.065203,0.063969,0.00331125827814574,0.0616874785478545,0.0604575511551153,0,0.0652029999999999,0.0639689999999999,0.00317460317460322,0.0618321044303796,0.0606020094936708,0.00277469478357381,0.062255565024903,0.0610249795240729
1962,8,0.021669,0.015803,0,0.0216689999999999,0.015803,0,0.0216689999999999,0.015803,0,0.0216689999999999,0.015803,0.00415052573325955,0.0174460639294571,0.0116043102783137
1962,9,-0.048816,-0.050259,0.00330033003300323,-0.0519448947368421,-0.0533831480263158,0.00318471337579622,-0.0518356317460318,-0.053274050793651,0.00949367088607586,-0.0577613040752349,-0.0591907335423196,0.0162579222926427,-0.0640328806941431,-0.0654527958242951
1962,10,0.008313,0.006405,0,0.00831300000000001,0.00640499999999999,0.00317460317460322,0.00512213607594947,0.00322017405063302,-0.00626959247648901,0.0146745962145112,0.0127545583596216,-0.00623644251626901,0.0146407487039564,0.0127207748976808
1962,11,0.108268,0.100528,0,0.108268,0.100528,0,0.108268,0.100528,0,0.108268,0.100528,0.0141882673942701,0.0927635781544256,0.0851318590260963
1962,12,0.015534,0.01404,0,0.0155339999999999,0.0140400000000001,0,0.0155339999999999,0.0140400000000001,-0.00315457413249205,0.0187477151898734,0.0172489873417723,0.00511164917944588,0.010369346359743,0.00888294432548187
1963,1,0.050367,0.048957,0,0.0503670000000001,0.0489569999999999,-0.00316455696202536,0.0537014984126984,0.0522870222222223,0,0.0503670000000001,0.0489569999999999,0.00214132762312622,0.0481226260683763,0.046715638888889
1963,2,-0.024189,-0.029164,0,-0.024189,-0.029164,0,-0.024189,-0.029164,-0.00316455696202536,-0.0210911873015873,-0.0260819809523809,-0.00267094017094017,-0.0215756871987145,-0.0265640107123728
1963,3,0.036581,0.035156,0.00328947368421057,0.0331823737704917,0.0317620459016392,0.00317460317460322,0.0333006803797469,0.0318801898734178,0,0.036581,0.035156,0.00428494911622931,0.0321582543999999,0.0307393343999998
1963,4,0.04907,0.048177,0,0.0490699999999999,0.0481769999999999,0.00316455696202525,0.0457606309148264,0.0448704479495268,-0.00317460317460322,0.0524109872611465,0.0515151433121019,0.00373333333333327,0.0451680393198723,0.0442783607863972
1963,5,0.019674,0.013844,0,0.019674,0.013844,0,0.019674,0.013844,0.00318471337579622,0.0164369396825395,0.0106254476190475,0.00212539851222107,0.0175113828207847,0.0116937476139978
1963,6,-0.018605,-0.019806,0.00327868852459021,-0.0218121732026143,-0.023009248366013,0.00315457413249216,-0.0216911477987421,-0.0228883710691824,0.00317460317460322,-0.0217106803797468,-0.0229078797468354,0.0119300106044539,-0.0301750222687975,-0.031361863243385
1963,7,-0.001821,-0.003131,0.00326797385620908,-0.00507239739413679,-0.00637813029315959,0,-0.00182099999999996,-0.00313099999999999,0.00316455696202525,-0.00496982965299686,-0.00627569716088328,0.00707361802462664,-0.00883214281997913,-0.0101329414672217
1963,8,0.053466,0.048496,0,0.053466,0.0484960000000001,0.00314465408805025,0.0501635987460816,0.0452091786833857,-0.00315457413249205,0.056799753164557,0.0518140253164558,0.00494276795005212,0.0482845726119594,0.0433390173440331
1963,9,-0.010402,-0.011579,0,-0.010402,-0.011579,0,-0.010402,-0.011579,0,-0.010402,-0.011579,-0.00207092932953666,-0.00834835953307389,-0.00952780207522697
1963,10,0.034825,0.03329,0.00325732899022806,0.0314651785714286,0.0299351623376625,0.00313479623824456,0.0315911718749999,0.03006096875,0,0.0348250000000001,0.03329,0.0012970168612192,0.0334845531088084,0.0319515414507772
1963,11,-0.004487,-0.011085,0,-0.00448700000000002,-0.011085,0.00312500000000004,-0.00758828660436139,-0.0141657320872275,0.00316455696202525,-0.00762741955835966,-0.0142046056782335,0.00880829015544035,-0.0131792039034411,-0.0197195942475602
1963,12,0.026065,0.024651,0.00324675324675318,0.0227444012944984,0.0213349773462783,0,0.026065,0.024651,-0.00315457413249205,0.0293120411392405,0.0278935664556961,0.0136106831022086,0.0122870813275906,0.0108920684063847
1964,1,0.027391,0.026373,0,0.0273909999999999,0.026373,0,0.0273909999999999,0.026373,0.00632911392405061,0.0209294213836477,0.0199178238993709,0.00532049657968083,0.0219536988407256,0.020941086441532
1964,2,0.017015,0.012171,0,0.017015,0.0121709999999999,0,0.017015,0.0121709999999999,-0.00628930817610061,0.0234518037974683,0.0185771455696202,0.00856854838709672,0.00837469265367319,0.00357184607696137
1964,3,0.017232,0.015814,0,0.0172319999999999,0.015814,0.00311526479750783,0.0140728944099378,0.0126592981366458,0,0.0172319999999999,0.015814,0.00399800099950031,0.0131813001493279,0.0117689467396715
1964,4,0.006192,0.005297,0,0.00619199999999998,0.00529700000000011,0,0.00619199999999998,0.00529700000000011,0,0.00619199999999998,0.00529700000000011,0.00248880039820806,0.00369400595829195,0.00280122790466741
1964,5,0.016815,0.01146,0,0.016815,0.01146,0,0.016815,0.01146,-0.00316455696202536,0.0200429841269842,0.0146709841269841,0.0139026812313803,0.00287238491674846,-0.0024091870714984
1964,6,0.018084,0.016779,0.0032362459546926,0.0147998580645161,0.0134990677419355,0.00310559006211162,0.014932037151703,0.0136310773993811,0,0.018084,0.0167790000000001,0.00734573947110676,0.0106599552746718,0.00936447156052522
