Series ID,Year,Period,Label,Value
CUUR0000SA0L1E,1986,M10,1986 Oct,115.1
CUUR0000SA0L1E,1986,M11,1986 Nov,115.4
CUUR0000SA0L1E,1986,M12,1986 Dec,115.5
CUUR0000SA0L1E,1987,M01,1987 Jan,115.8
CUUR0000SA0L1E,1987,M02,1987 Feb,116.1
CUUR0000SA0L1E,1987,M03,1987 Mar,116.8
CUUR0000SA0L1E,1987,M04,1987 Apr,117.4
CUUR0000SA0L1E,1987,M05,1987 May,117.6
CUUR0000SA0L1E,1987,M06,1987 Jun,117.7
CUUR0000SA0L1E,1987,M07,1987 Jul,118.0
CUUR0000SA0L1E,1987,M08,1987 Aug,118.6
CUUR0000SA0L1E,1987,M09,1987 Sep,119.4
CUUR0000SA0L1E,1987,M10,1987 Oct,120.1
CUUR0000SA0L1E,1987,M11,1987 Nov,120.5
CUUR0000SA0L1E,1987,M12,1987 Dec,120.4
CUUR0000SA0L1E,1988,M01,1988 Jan,120.8
CUUR0000SA0L1E,1988,M02,1988 Feb,121.1
CUUR0000SA0L1E,1988,M03,1988 Mar,121.9
CUUR0000SA0L1E,1988,M04,1988 Apr,122.4
CUUR0000SA0L1E,1988,M05,1988 May,122.7
CUUR0000SA0L1E,1988,M06,1988 Jun,123.0
CUUR0000SA0L1E,1988,M07,1988 Jul,123.3
CUUR0000SA0L1E,1988,M08,1988 Aug,123.8
CUUR0000SA0L1E,1988,M09,1988 Sep,124.7
CUUR0000SA0L1E,1988,M10,1988 Oct,125.5
CUUR0000SA0L1E,1988,M11,1988 Nov,125.8
CUUR0000SA0L1E,1988,M12,1988 Dec,126.0
CUUR0000SA0L1E,1989,M01,1989 Jan,126.4
CUUR0000SA0L1E,1989,M02,1989 Feb,126.9
CUUR0000SA0L1E,1989,M03,1989 Mar,127.6
CUUR0000SA0L1E,1989,M04,1989 Apr,128.0
CUUR0000SA0L1E,1989,M05,1989 May,128.3
CUUR0000SA0L1E,1989,M06,1989 Jun,128.5
CUUR0000SA0L1E,1989,M07,1989 Jul,129.0
CUUR0000SA0L1E,1989,M08,1989 Aug,129.3
CUUR0000SA0L1E,1989,M09,1989 Sep,130.0
CUUR0000SA0L1E,1989,M10,1989 Oct,130.9
CUUR0000SA0L1E,1989,M11,1989 Nov,131.3
CUUR0000SA0L1E,1989,M12,1989 Dec,131.5
CUUR0000SA0L1E,1990,M01,1990 Jan,132.0
CUUR0000SA0L1E,1990,M02,1990 Feb,132.8
CUUR0000SA0L1E,1990,M03,1990 Mar,133.9
CUUR0000SA0L1E,1990,M04,1990 Apr,134.2
CUUR0000SA0L1E,1990,M05,1990 May,134.4
CUUR0000SA0L1E,1990,M06,1990 Jun,134.8
CUUR0000SA0L1E,1990,M07,1990 Jul,135.5
CUUR0000SA0L1E,1990,M08,1990 Aug,136.4
CUUR0000SA0L1E,1990,M09,1990 Sep,137.2
CUUR0000SA0L1E,1990,M10,1990 Oct,137.8
CUUR0000SA0L1E,1990,M11,1990 Nov,138.2
CUUR0000SA0L1E,1990,M12,1990 Dec,138.3
CUUR0000SA0L1E,1991,M01,1991 Jan,139.4
CUUR0000SA0L1E,1991,M02,1991 Feb,140.3
CUUR0000SA0L1E,1991,M03,1991 Mar,140.9
CUUR0000SA0L1E,1991,M04,1991 Apr,141.1
CUUR0000SA0L1E,1991,M05,1991 May,141.3
CUUR0000SA0L1E,1991,M06,1991 Jun,141.5
CUUR0000SA0L1E,1991,M07,1991 Jul,142.0
CUUR0000SA0L1E,1991,M08,1991 Aug,142.7
CUUR0000SA0L1E,1991,M09,1991 Sep,143.4
CUUR0000SA0L1E,1991,M10,1991 Oct,143.9
CUUR0000SA0L1E,1991,M11,1991 Nov,144.4
CUUR0000SA0L1E,1991,M12,1991 Dec,144.4
CUUR0000SA0L1E,1992,M01,1992 Jan,144.9
CUUR0000SA0L1E,1992,M02,1992 Feb,145.6
CUUR0000SA0L1E,1992,M03,1992 Mar,146.4
CUUR0000SA0L1E,1992,M04,1992 Apr,146.6
CUUR0000SA0L1E,1992,M05,1992 May,146.7
CUUR0000SA0L1E,1992,M06,1992 Jun,146.9
CUUR0000SA0L1E,1992,M07,1992 Jul,147.3
CUUR0000SA0L1E,1992,M08,1992 Aug,147.7
CUUR0000SA0L1E,1992,M09,1992 Sep,148.1
